id,title,author,price,category,retrieved_at
80,"Уметнички разделник, Rosina Wachtmeister - Bibliotheca",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
81,"Уметнички разделник, Rosina Wachtmeister - Libero",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
82,"Уметнички разделник, Egon Schiele - Sitting Woman With Legs Drawn Up",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
83,"Уметнички разделник, Kandinsky - Color Study: Squares with concentric circles...",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
84,,N/A,110,РАЗДЕЛНИЦИ,2025-05-15
85,"Уметнички разделник, Gustav Klimt - Fulfillment",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
86,"Уметнички разделник, Gustav Klimt - Adele Bloch Bauer",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
87,"Уметнички разделник, Gustav Klimt - Tree of Life",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
88,"Уметнички разделник, Gustav Klimt - The Kiss",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
89,"Уметнички разделник, Gustav Klimt - Lady With Fan",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
90,"Уметнички разделник, Gustav Klimt - The Virgins",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
91,"Уметнички разделник, Art Nouveau - Madeleine",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
92,"Уметнички разделник, Art Nouveau - Sarah",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
93,"Уметнички разделник, Art Nouveau - Jacqueline",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
94,"Уметнички разделник, Art Nouveau - Polette",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
95,"Уметнички разделник, Art Nouveau - Louise",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
96,"Уметнички разделник, Art Nouveau - Clodette",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
97,"Срце, глава, стомак",Камило Кастело Бранко,350,КЛАСИЦИ,2025-05-15
98,"Разделник за книги, Kong",N/A,549,РАЗДЕЛНИЦИ,2025-05-15
99,"Разделник за книги, Psycho",N/A,439,РАЗДЕЛНИЦИ,2025-05-15
100,"Сет од 4 метални разделници, Harry Potter - Hogwarts Houses",N/A,1.750,РАЗДЕЛНИЦИ,2025-05-15
101,"Сет од 4 метални разделници, Da Vinci's Drawings",N/A,1.290,РАЗДЕЛНИЦИ,2025-05-15
102,"Уметнички разделник, Impressionists - Gauguin: Nafea faa ipoipo",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
103,"Уметнички разделник, Impressionists - Cezanne: Mont Sainte-Victoire",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
104,"Уметнички разделник, Impressionists - Renoir: Bal du moulin de la Galette",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
105,"Уметнички разделник, Impressionists - Edouard Manet: A Bar at the Folies-Berg...",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
106,"Уметничку разделник, Impressionists - Van Gogh: Sunflowers",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
107,"Уметнички разделник, Impressionists - Van Gogh: Wheat Field with Cypresses",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
108,"Уметнички разделник, Impressionists - Van Gogh: Café de Nuit",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
109,"Уметнички разделник, Impressionists - Claude Monet: Woman with a parasol",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
110,"Уметнички разделник, Impressionists - Edgar Degas: Dancers in Pink",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
111,"Уметнички разделник, Impressionists - Edgar Degas: The Star",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
112,"Уметнички разделник, Van Gogh - Sunflowers",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
113,"Уметнички разделник, Van Gogh - Bedroom in Arles",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
114,"Уметнички разделник, Van Gogh - Almond Blossom",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
115,"Уметнички разделник, Van Gogh - Wheat Field with Cypresses",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
116,"Уметнички разделник, Van Gogh - Starry Night",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
117,"Уметнички разделник, Van Gogh - Café de Nuit",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
118,"Уметнички разделник, Rosina Wachtmeister - My garden",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
119,"Уметнички разделник, Rosina Wachtmeister - Fantasy",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
120,"Уметнички разделник, Rosina Wachtmeister - Wonderland",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
121,"Уметнички разделник, Rosina Wachtmeister - Stelle per due",N/A,110,РАЗДЕЛНИЦИ,2025-05-15
